DATETIME,alt(km),lat(deg),lon(deg)
2019-07-30 17:04:00,11362.75841,11.391923,154.268925
2019-07-30 17:09:00,11516.45781,8.645016,156.193306
2019-07-30 17:14:00,11650.92313,5.916772,158.021787
2019-07-30 17:19:00,11765.75939,3.20951,159.778169
2019-07-30 17:24:00,11860.64721,0.524741,161.484253
2019-07-30 17:29:00,11935.33433,-2.136523,163.160389
2019-07-30 17:34:00,11989.62892,-4.773513,164.825953
2019-07-30 17:39:00,12023.39443,-7.385485,166.499793
2019-07-30 17:44:00,12036.54604,-9.971508,168.200636
2019-07-30 17:49:00,12029.04839,-12.530263,169.947477
2019-07-30 17:54:00,12000.91479,-15.059836,171.759955
2019-07-30 17:59:00,11952.20766,-17.557479,173.658721
2019-07-30 18:04:00,11883.04041,-20.019348,175.665795
2019-07-30 18:09:00,11793.58068,-22.440185,177.804911
2019-07-30 18:14:00,11684.055,-24.812945,180.101827
2019-07-30 18:19:00,11554.7552,-27.128346,182.584555
2019-07-30 18:24:00,11406.04646,-29.374327,185.283465
2019-07-30 18:29:00,11238.37735,-31.535429,188.231152
2019-07-30 18:34:00,11052.29211,-33.592071,191.46192
2019-07-30 18:39:00,10848.44524,-35.519792,195.010683
2019-07-30 18:44:00,10627.61896,-37.288487,198.91102
2019-07-30 18:49:00,10390.74355,-38.861802,203.19214
2019-07-30 18:54:00,10138.92099,-40.196858,207.874566
2019-07-30 18:59:00,9873.45199,-41.2446,212.964666
2019-07-30 19:04:00,9595.86645,-41.951076,218.448702
2019-07-30 19:09:00,9307.95713,-42.259888,224.28779
2019-07-30 19:14:00,9011.81577,-42.115825,230.415844
2019-07-30 19:19:00,8709.87042,-41.469303,236.742534
2019-07-30 19:24:00,8404.92162,-40.280818,243.162081
2019-07-30 19:29:00,8100.17394,-38.524462,249.566513
2019-07-30 19:34:00,7799.25765,-36.189795,255.859969
2019-07-30 19:39:00,7506.23336,-33.281981,261.970135
2019-07-30 19:44:00,7225.57068,-29.820714,267.854319
2019-07-30 19:49:00,6962.09031,-25.838758,273.499992
2019-07-30 19:54:00,6720.85904,-21.380843,278.921376
2019-07-30 19:59:00,6507.02955,-16.503222,284.154268
2019-07-30 20:04:00,6325.62309,-11.273841,289.250835
2019-07-30 20:09:00,6181.26303,-5.772709,294.275337
2019-07-30 20:14:00,6077.8809,-0.091995,299.301032
2019-07-30 20:19:00,6018.4293,5.664616,304.407956
2019-07-30 20:24:00,6004.64454,11.383511,309.680948
2019-07-30 20:29:00,6036.8997,16.943703,315.206971
2019-07-30 20:34:00,6114.17553,22.220151,321.0705
2019-07-30 20:39:00,6234.1544,27.087778,327.345517
2019-07-30 20:44:00,6393.41841,31.426355,334.082906
2019-07-30 20:49:00,6587.71553,35.12683,341.293402
2019-07-30 20:54:00,6812.25117,38.099623,348.929377
2019-07-30 20:59:00,7061.96683,40.284486,356.873175
2019-07-30 21:04:00,7331.77916,41.659708,4.942001
2019-07-30 21:09:00,7616.76574,42.246834,12.914704
2019-07-30 21:14:00,7912.29556,42.107616,20.573703
2019-07-30 21:19:00,8214.10931,41.333201,27.744841
2019-07-30 21:24:00,8518.35911,40.029257,34.319459
2019-07-30 21:29:00,8821.6176,38.301995,40.254851
2019-07-30 21:34:00,9120.86614,36.248372,45.560236
2019-07-30 21:39:00,9413.46961,33.951109,50.278201
2019-07-30 21:44:00,9697.14404,31.477499,54.468421
2019-07-30 21:49:00,9969.92109,28.880462,58.196159
2019-07-30 21:54:00,10230.11237,26.200611,61.52535
2019-07-30 21:59:00,10476.27542,23.468548,64.515082
2019-07-30 22:04:00,10707.18217,20.706986,67.218221
2019-07-30 22:09:00,10921.79064,17.932554,69.681273
2019-07-30 22:14:00,11119.21986,15.157261,71.944856
2019-07-30 22:19:00,11298.72794,12.389642,74.044437
2019-07-30 22:24:00,11459.69331,9.635651,76.011133
2019-07-30 22:29:00,11601.59856,6.899351,77.872499
2019-07-30 22:34:00,11724.01696,4.183452,79.653232
2019-07-30 22:39:00,11826.60114,1.48972,81.375816
2019-07-30 22:44:00,11909.07395,-1.180681,83.061085
2019-07-30 22:49:00,11971.221,-3.826924,84.728724
2019-07-30 22:54:00,12012.88498,-6.44828,86.397732
2019-07-30 22:59:00,12033.96151,-9.04391,88.086837
2019-07-30 23:04:00,12034.39639,-11.612664,89.814889
2019-07-30 23:09:00,12014.1842,-14.15287,91.601247
2019-07-30 23:14:00,11973.36836,-16.662116,93.466139
2019-07-30 23:19:00,11912.04236,-19.136994,95.431035
2019-07-30 23:24:00,11830.3525,-21.572805,97.518987
2019-07-30 23:29:00,11728.50202,-23.963211,99.754959
2019-07-30 23:34:00,11606.7568,-26.29981,102.166089
2019-07-30 23:39:00,11465.45275,-28.571636,104.781848
2019-07-30 23:44:00,11305.00508,-30.764567,107.634008
2019-07-30 23:49:00,11125.91966,-32.860638,110.756282
2019-07-30 23:54:00,10928.80675,-34.837295,114.183468
2019-07-30 23:59:00,10714.39726,-36.666624,117.949847
2019-07-31 00:04:00,10483.56202,-38.314671,122.086579
2019-07-31 00:09:00,10237.33406,-39.741021,126.61787
2019-07-31 00:14:00,9976.93436,-40.898883,131.555905
2019-07-31 00:19:00,9703.80105,-41.735993,136.894965
2019-07-31 00:24:00,9419.62182,-42.196609,142.60587
2019-07-31 00:29:00,9126.36928,-42.224724,148.632582
2019-07-31 00:34:00,8826.33801,-41.76826,154.893143
2019-07-31 00:39:00,8522.18157,-40.783614,161.286329
2019-07-31 00:44:00,8216.94626,-39.2396,167.703542
2019-07-31 00:49:00,7914.0974,-37.11997,174.043142
2019-07-31 00:54:00,7617.53141,-34.424152,180.223301
2019-07-31 00:59:00,7331.56567,-31.166537,186.190169
2019-07-31 01:04:00,7060.89588,-27.375078,191.920349
2019-07-31 01:09:00,6810.5103,-23.089994,197.418711
2019-07-31 01:14:00,6585.55139,-18.36309,202.71365
2019-07-31 01:19:00,6391.12006,-13.257737,207.851761
2019-07-31 01:24:00,6232.02629,-7.84924,212.893176
2019-07-31 01:29:00,6112.5023,-2.225111,217.908058
2019-07-31 01:34:00,6035.90809,3.515246,222.974121
2019-07-31 01:39:00,6004.46979,9.261745,228.174668
